carat,price
1.04,7207
0.7,2671
0.33,614
1.5,8347
0.6,2298
1.2,7190
0.31,544
0.7,2681
1.2,9370
0.37,745
0.42,773
0.83,2241
0.3,552
0.32,732
0.34,477
0.7,2905
0.88,5052
0.55,1634
0.27,464
1.14,4884
1.05,4494
0.3,473
1.5,7365
1.91,9038
0.44,1232
1.07,4609
0.5,1690
0.41,1061
0.7,2536
0.38,1031
1.25,13536
0.5,1374
0.24,364
1.06,4570
0.83,2863
0.3,766
0.6,2528
0.5,1176
0.9,3295
0.3,675
0.31,593
1.56,13787
0.71,3123
1.51,3497
1.01,7528
0.38,680
2,12940
1.03,6460
0.52,1748
0.39,979
2,12987
0.3,605
1.01,5599
0.31,816
1.12,8430
0.3,605
0.4,1088
0.9,3669
0.71,2363
0.54,1241
0.9,4612
0.79,2348
1.6,13140
1.03,4374
0.55,1134
0.8,3732
0.41,875
0.26,382
0.31,544
1.09,4629
0.3,911
1.11,4273
0.62,2469
0.59,1837
0.56,1723
0.57,4032
1,5292
1.04,6173
0.7,2000
0.7,2407
1.13,5012
1.51,17936
0.71,2455
0.43,1064
0.55,1368
1.54,8969
1,4620
2.5,14652
1,4761
1.01,4783
1.02,4718
0.32,505
1.71,7508
0.31,707
0.33,946
0.52,1438
1.5,11189
0.3,567
0.3,878
0.5,1795
0.52,2065
0.47,1613
1.3,6559
0.31,871
0.34,626
1.01,3777
0.64,4281
0.31,489
0.7,2196
0.7,3062
1.17,9225
0.26,564
1,7084
0.4,667
1,4657
0.47,1102
0.34,745
0.33,579
0.52,1670
1.02,6797
1.71,10055
1.01,6257
1.4,8624
1.05,5192
0.32,1018
1.21,5624
1.14,5501
0.4,606
1.01,4185
0.4,1200
1.52,5916
0.76,2814
0.5,1011
0.28,780
1.11,5315
0.38,700
1,6040
0.56,1605
0.34,995
0.82,3123
1.04,4507
0.47,1865
1.02,5100
1.02,6047
0.41,719
0.44,1158
0.5,1654
1,3780
2.05,12766
0.75,2698
0.95,3214
0.51,1438
0.3,405
1.19,7147
1,2974
1.6,10798
0.38,838
0.33,1002
0.8,3630
1.5,13107
0.3,956
0.3,605
0.27,620
0.46,1417
1.51,8388
1.03,7192
0.33,668
1.01,4559
0.4,1050
0.8,3648
0.71,2382
0.34,880
0.5,1235
1.22,11870
0.59,1764
0.78,3613
1.21,9942
0.33,795
0.35,478
1.19,4931
1.25,8099
1.07,5704
0.75,3048
1.51,8794
2.3,14744
0.72,2670
0.35,829
0.34,689
1.01,4072
0.9,3706
1,4218
0.81,4314
1.13,5050
0.3,616
0.31,1046
0.3,675
1.23,4773
2.16,17891
1.11,4709
0.54,1847
1.02,6909
1.51,7577
0.73,3195
1.03,5012
1.07,7513
0.34,626
0.5,1234
1.03,2220
0.4,1404
0.7,2818
1.52,8110
2.02,13267
0.4,622
0.79,3861
0.47,1244
0.33,463
1.21,4404
0.51,1601
1.01,4803
0.77,2519
1.01,4525
0.62,1734
0.31,421
2.04,13790
0.41,705
1.26,10669
0.36,1033
0.71,2694
0.42,882
0.31,707
1,6048
0.31,682
1.01,6843
0.71,2396
1.02,7779
0.73,2581
0.4,982
0.5,1323
1.28,6451
0.91,3539
1.21,5866
0.24,336
0.38,995
0.9,4358
0.8,4263
0.28,487
1.02,6333
0.51,1836
0.72,2691
0.9,4022
1.22,8313
0.4,926
0.8,2371
0.71,3247
0.7,2394
1.11,5450
0.7,2337
0.42,756
0.36,949
0.38,988
1.02,7389
0.5,2025
1.07,8640
1.52,8631
0.7,2575
1,5096
1.71,17052
0.51,1343
0.3,882
0.6,1625
1,6303
0.9,3398
0.7,2171
0.52,1244
1.23,3977
1.01,4185
0.52,1454
0.38,1069
2.01,16733
0.81,2031
0.55,1768
0.36,410
1.51,8637
0.43,890
2.5,7854
1.5,12798
1.51,10553
0.34,641
0.79,2275
1.07,6040
1.05,4363
0.59,1254
0.72,3078
0.93,3941
0.71,4029
0.3,684
0.58,1641
0.74,2631
0.56,1270
0.4,677
0.96,1705
0.32,828
0.34,615
0.45,672
1.01,4242
1.5,14486
0.35,984
1.5,8276
0.41,818
1.24,9738
0.71,1713
0.4,1128
0.26,482
0.29,471
1.28,6595
2.3,16181
1.04,4190
0.5,982
1.39,5021
0.51,1546
0.36,789
0.31,732
0.31,789
1,4255
1.01,5599
0.9,4119
1.02,3427
1.01,4242
1.51,10819
0.41,827
0.42,1221
1.21,5431
0.25,575
0.5,701
1.3,12734
0.39,849
0.4,842
0.57,1012
1.2,5268
0.5,1122
0.71,2586
0.54,1695
2.25,14775
0.73,2503
0.4,1125
1.51,16091
0.41,1007
2.02,18077
0.9,4258
0.66,3103
0.56,1941
0.38,1133
2.08,15065
0.35,984
0.34,689
0.9,4617
2.01,11646
1.2,5280
0.4,589
1.23,5951
0.57,2402
1.13,11387
0.34,459
1.51,7357
1.34,8930
0.9,3057
1.2,8521
1.02,4558
0.31,698
0.38,973
1.21,8616
0.3,422
0.83,3290
0.32,828
0.44,1155
0.52,1141
0.26,657
1.5,10584
1.06,7788
0.9,4234
0.37,696
0.3,526
0.36,828
0.31,698
0.7,2745
2.02,15996
0.45,1263
0.39,921
1.31,8979
1.06,7627
0.5,2376
1.01,4338
0.6,1250
0.32,843
1.72,11638
0.53,1753
1,4702
1.01,4707
0.91,3994
0.57,1180
1.25,7560
1.2,9475
1.5,13135
1.03,6659
0.42,992
0.7,2184
1.01,5543
1,6048
0.32,892
1.07,5405
0.52,1577
0.31,464
2.02,13117
0.7,2782
0.41,1076
1.71,12224
0.94,3758
0.58,1949
0.81,3514
0.31,548
2.11,12554
1.1,3678
1.51,7154
1.01,8688
0.4,727
0.31,490
1.51,8975
0.35,827
1.09,7493
1.01,10800
0.72,1944
1.06,4270
1.04,4566
0.31,646
0.3,709
0.3,421
0.41,1007
0.4,873
1.52,7109
1.38,5765
0.71,2594
0.32,672
0.5,1410
0.41,1107
0.52,1555
0.44,1160
0.53,1023
0.33,730
0.54,1340
1.7,7650
1.1,5636
0.54,1637
0.4,758
0.31,562
1.12,8561
1.2,6250
0.72,2385
2,11400
1.23,5894
0.5,1752
1,5242
1.02,4207
0.33,917
0.56,1770
0.26,565
1.37,5156
0.5,1154
0.74,2289
1.72,10268
1.7,12030
2.05,17408
1.52,11154
0.41,613
1.06,4903
1.5,6922
1.51,7062
2.39,17642
1.53,11557
0.5,1154
0.72,2030
0.7,2762
1.03,4668
0.82,2975
0.41,1367
1.01,6509
0.32,524
0.4,882
0.5,1079
2,13203
1.72,14892
0.71,2207
0.33,666
0.53,1783
0.38,752
0.56,1616
0.34,935
0.21,326
1.02,5350
0.53,1335
0.92,3967
0.35,921
0.63,1932
1.01,4642
0.56,1865
1.15,7175
0.33,492
1,4295
0.71,2375
0.71,2147
0.56,2066
0.35,1024
0.3,635
0.39,650
1.73,16807
0.28,828
0.38,525
0.7,3206
0.3,844
2.09,18509
0.36,1013
1.22,5368
0.54,1786
0.31,591
1.21,9176
1.55,14185
0.26,420
1.22,3443
0.43,943
0.93,3844
1.2,6968
0.56,1915
0.3,675
0.32,900
0.75,2331
0.72,3283
0.7,2952
0.51,1414
0.69,1822
0.3,1025
0.53,1830
1.01,5443
0.33,839
1.5,7714
0.3,814
1.51,12738
0.67,1662
0.35,907
0.61,1579
0.91,5430
1,4032
1.5,4731
0.9,4601
0.34,765
1.02,7026
1.5,14199
0.4,867
1.51,9513
1.01,8621
0.4,702
0.9,5013
0.56,1580
0.52,1689
0.38,1027
0.42,847
0.55,2609
0.7,2382
0.24,678
0.8,2022
0.38,1140
0.42,1179
0.31,713
0.31,372
0.44,1081
0.24,432
1.03,6307
1.52,7022
0.51,2056
1.2,9784
0.39,1065
0.29,607
0.7,2107
0.52,2079
0.93,4214
0.41,1295
1.56,9784
0.73,2565
1.06,4238
1.1,4691
1.07,4764
0.7,1111
0.38,855
0.3,778
1.22,7430
2.43,18692
0.4,579
0.72,2429
0.34,974
1.09,3170
0.53,1721
0.57,1816
1.03,5330
2.14,17416
2,13675
0.32,589
2.01,14426
1.51,7534
1.72,17605
2.08,15696
0.38,703
0.9,3024
1,5058
0.39,587
1.21,6691
1,7420
0.29,525
0.54,1389
0.3,1013
0.31,755
0.83,3933
1,2912
1.21,7826
1.51,7418
0.4,1080
0.7,2487
0.52,1641
0.37,666
1.52,11912
0.76,3927
0.72,3564
1.01,6176
0.73,2841
0.59,1371
1.04,5766
1.51,8574
1.77,8840
0.26,599
0.31,625
0.3,360
1.12,5329
0.91,4352
0.5,1415
0.59,1912
0.36,932
0.91,3898
0.9,3964
0.33,827
0.41,969
0.71,3499
2.36,14146
0.67,2258
1.23,10859
0.43,1169
0.31,942
0.74,2769
0.51,1205
0.4,877
1.02,8005
2.16,14691
0.32,842
0.43,716
0.3,401
1.03,4470
1.53,9747
0.3,630
0.3,854
1.21,7703
1.32,7480
1,6465
0.7,2362
0.7,2382
1.03,5378
1.52,8897
0.71,2001
2.01,15587
0.71,2701
1,5292
0.59,2021
0.52,2092
0.7,2415
0.35,1035
0.31,625
0.74,2877
0.3,764
0.33,433
0.7,2512
0.75,2234
0.31,544
1.2,8334
1.5,3457
1.35,8747
0.41,738
0.73,2527
0.9,3521
1.61,14341
0.41,683
0.26,605
0.74,2952
1,3889
0.32,943
1.02,4798
0.4,1050
2.3,18108
1.31,6873
1.43,9450
0.33,1052
1.06,8619
0.81,3004
0.84,3535
1.21,5452
0.42,958
0.52,1372
0.36,726
1.13,5316
0.29,507
0.57,1346
0.41,961
1,4805
1.02,5998
1.24,4858
2.05,12857
0.32,730
1.16,5016
1.2,5826
0.93,4635
0.71,2226
1.02,6479
0.3,709
0.36,932
1.37,13439
0.4,1090
0.52,1292
1.01,4189
0.31,680
0.9,3919
0.41,683
1.19,8689
0.73,3249
0.51,1343
0.62,1234
0.31,774
0.71,2505
1.51,16688
0.25,576
0.51,1633
1.02,4044
0.37,999
1.06,6249
0.41,1367
0.3,581
0.65,1744
1,4392
1.5,12247
0.76,4223
0.51,1627
1,3584
0.32,867
0.41,1015
0.32,945
1.13,4689
0.53,1106
0.81,4630
1.5,5902
1,5396
0.41,719
0.32,1044
1.5,7056
0.72,4362
0.4,982
1,3696
0.93,4265
1,8154
1.01,4327
1.55,7161
1.18,11906
0.3,570
0.33,463
1.03,4328
1.17,7564
1.26,8040
0.31,684
1.14,5135
0.32,883
0.31,872
1.03,6036
0.9,4304
1.13,4746
1.05,6586
1.34,7893
1.03,5948
0.51,1875
0.52,1911
0.33,955
0.52,1088
1.64,8587
1.22,5807
0.96,4204
0.75,3192
0.4,1010
0.59,2538
0.32,645
0.96,4026
0.71,2443
0.79,3047
0.36,1013
1,5645
0.82,3513
0.6,1897
1.22,6323
1.52,3504
1.09,5237
0.53,1939
0.39,974
0.58,1776
1.26,14952
0.4,798
1.11,8508
1.1,3918
0.41,671
0.5,1838
1.52,13919
0.53,1832
0.3,526
0.29,737
0.7,3185
0.3,532
0.3,789
1.51,9833
1.03,4671
0.71,3007
0.3,452
0.7,2530
1.26,9896
1.23,3375
0.84,2879
0.4,737
1.07,4021
0.67,2427
0.41,1061
0.8,3195
0.34,760
0.32,427
0.38,983
0.56,2066
0.31,593
0.42,709
0.71,2291
0.91,2700
0.31,462
2.35,14399
0.31,625
0.33,868
0.32,466
0.71,2364
0.9,4397
1.31,4743
1.2,6019
0.5,926
0.31,679
0.37,794
0.24,485
1.06,6426
0.41,899
0.92,4258
0.43,850
0.7,2018
1,6762
0.79,3077
1.31,8583
0.82,2617
0.71,2225
2.09,17001
0.43,871
0.26,562
1.01,6416
0.5,1755
0.58,1698
0.39,752
1.21,6279
1.51,17649
0.54,1311
0.9,3644
0.33,912
0.5,1317
0.43,919
0.32,936
0.9,4592
0.32,480
1.22,6052
0.71,2977
0.38,915
0.72,2188
0.9,3231
0.23,505
0.76,2418
1.51,11255
0.55,1216
1.59,8325
1.01,6310
0.65,2177
0.38,865
0.31,698
0.52,2144
0.33,743
1,1954
0.91,3703
1.45,8740
0.72,3759
0.46,1267
1.01,4785
0.71,2743
0.41,1007
2.16,18481
0.3,814
1.19,4329
0.55,1588
0.53,1659
1.03,9881
1,3192
0.9,2634
0.41,689
0.4,644
0.31,625
1.21,6849
0.41,878
0.52,1641
1.08,4627
1.01,4197
0.83,4159
0.41,755
0.31,802
1.15,5047
0.53,1173
0.3,574
0.42,873
0.8,2292
0.23,478
0.32,912
1,4704
0.48,1279
1.52,9278
1.24,6354
0.77,2765
0.7,2846
0.91,2963
0.32,972
1.31,6484
0.93,3646
0.76,2364
0.53,1579
1.2,6182
1.01,4525
0.38,963
0.26,724
0.76,4504
1.1,5088
0.5,1584
0.5,1154
0.91,3669
0.38,1069
2.01,14279
0.53,1607
0.38,1067
1.51,9442
0.37,863
0.59,1820
0.41,1187
0.71,2920
0.71,2911
0.94,7120
0.71,2331
1,5522
0.27,432
1.02,4455
0.23,485
1.2,2376
1.01,8943
1.55,14039
0.44,1438
0.55,1374
0.5,1373
1.52,7600
0.34,973
0.31,446
0.3,568
1.2,7903
0.78,3538
0.9,4715
1,5887
1,8736
0.3,709
0.3,526
0.35,994
1.83,11406
1.01,4788
1.01,4588
0.4,900
0.91,3924
0.91,3299
0.4,1050
1.44,4064
1.29,6140
0.39,1009
0.31,726
1.03,6467
1.06,6619
1.11,4316
0.41,904
0.32,828
0.32,450
0.24,678
1.15,5506
0.32,449
0.83,3625
1,6552
1.12,6110
0.56,1580
1.07,5063
0.28,522
2.01,16383
1.01,2846
0.32,756
1.12,8701
0.41,719
1.41,8686
0.31,907
1.51,9283
0.32,645
0.23,431
1.51,6394
0.4,1080
1.56,9120
0.79,3256
0.91,2913
1,5967
1.01,5525
0.51,2203
1.51,11087
1.15,6831
0.52,1232
0.4,737
0.32,393
0.73,3250
0.56,1685
0.9,3387
0.54,1600
0.71,3321
1.04,6012
0.71,2240
1.19,5644
0.4,877
0.31,975
1.22,2699
1.21,4492
1.53,12602
0.75,2383
1.05,6486
1.25,4060
1.4,8847
0.74,3087
0.31,625
0.3,878
0.92,3534
1.86,11520
1.5,6300
0.55,1667
0.32,393
1.07,9532
1.13,6980
0.57,2339
0.33,445
1,4704
0.26,597
0.92,2607
0.3,795
0.33,854
0.37,989
1.01,5543
0.3,605
1.53,9022
0.53,1408
1.01,4688
0.9,3997
0.77,3917
1,7177
1.03,5498
0.28,522
0.31,1052
0.7,1724
0.7,4951
0.72,2737
1.51,10935
2.5,18447
0.59,1828
0.32,900
2.01,16728
0.7,1966
0.61,1805
0.53,1648
1.04,4455
0.38,659
0.39,1124
0.35,833
0.31,502
0.78,2240
0.43,745
0.57,1868
0.52,1292
1.22,8362
1.57,6031
1.6,9229
0.9,3699
0.52,2598
0.33,666
0.7,2381
0.41,1079
0.37,957
0.7,2187
1.02,2452
0.57,1235
1.01,4760
1.75,8820
1,6021
1.5,9960
0.91,3408
0.31,544
1,7392
1.01,6097
1.7,13681
1.01,5898
1.04,3553
0.3,895
1,8216
0.9,4234
1.14,4916
3,16970
1.01,4612
1.53,10398
0.31,544
0.92,3932
1.24,4791
0.35,906
1.01,4672
0.4,1049
0.56,1197
0.6,2313
0.55,2716
1.91,11447
0.31,516
0.41,1015
1.19,4660
1.01,5132
1,4496
0.34,537
1.02,6397
0.32,550
1.51,8770
0.3,814
1.53,11178
0.31,627
0.35,669
1.11,4196
0.9,5081
1.24,5592
2.02,16985
1.09,7081
0.41,1582
0.27,442
1.29,6424
0.51,1744
1.51,6712
0.41,1151
0.3,742
0.47,829
0.7,2427
0.58,2192
1.01,6670
0.37,833
0.5,727
0.28,642
1.01,3982
0.8,3967
0.31,814
1.01,7107
1.5,8736
1.59,7080
0.71,2317
1.03,4060
0.32,575
0.9,2873
0.34,537
0.5,1436
0.5,1436
0.32,589
0.47,1721
0.97,3993
0.34,477
0.32,900
0.77,2614
1.72,8264
0.4,990
1.2,5107
1.2,6160
0.32,449
0.3,1069
0.31,687
0.73,2098
0.38,1027
0.81,3933
1.2,5613
0.7,2998
1.14,5053
1,4788
1.01,3411
0.31,507
0.37,1073
1.2,5609
0.52,1600
1.16,10368
0.42,788
0.42,1109
1.53,12968
0.56,1814
0.7,3210
0.26,532
1.35,5670
1.2,5698
1.2,6373
0.5,3378
0.79,3209
0.89,3663
1.33,6316
0.55,1235
0.31,621
1.51,7139
0.9,3917
0.3,694
0.77,2875
0.79,2959
1.52,14577
2.01,11554
0.32,516
0.52,1338
1.12,3017
0.91,4128
0.23,680
1.5,10819
0.57,1613
1.24,8299
0.41,1061
0.34,596
0.5,2083
0.51,1574
0.3,837
0.7,2576
0.27,432
0.25,1186
0.54,2776
2.03,12677
0.7,2240
0.3,844
0.31,635
0.48,2329
0.51,1758
0.41,1163
0.9,3084
1.11,5006
0.7,2285
0.92,2858
0.38,744
0.9,3977
0.29,498
0.91,4309
0.4,726
1.56,7950
0.34,880
0.31,544
1.14,5139
1.19,6363
1.09,7422
0.5,965
2.1,12612
0.86,2980
0.44,1334
0.9,4560
1.5,13846
0.3,886
0.7,3028
0.7,2415
1.01,7127
0.78,2816
0.4,855
0.9,3447
0.75,1881
0.3,684
1,3858
0.5,1801
0.81,3230
0.34,1030
1,3864
1.57,10550
0.34,1163
0.31,583
1.5,10956
0.81,3243
1.35,6573
0.77,2961
0.4,1397
1.12,9007
0.56,1935
0.45,1091
0.35,945
0.27,577
0.28,646
0.31,544
0.3,432
0.58,1239
0.3,416
1.14,7275
0.53,1193
3.04,18559
1.08,6319
0.33,854
0.44,1040
1.01,3399
0.38,752
0.76,3384
0.72,2099
1.24,5277
0.32,676
1.22,6288
0.3,764
0.5,1598
0.5,1087
0.53,1324
0.51,1827
0.35,709
1.04,6278
0.9,4259
0.7,2407
0.56,1729
0.45,790
0.54,1847
2.1,15615
0.7,2116
0.24,492
1.22,5739
0.78,3590
0.54,1653
0.7,1824
0.36,825
1.8,12308
0.32,720
0.31,907
1.52,5277
0.41,1115
2.02,18700
1.51,12224
1.06,5889
0.57,1853
0.36,663
0.33,781
0.34,596
0.7,2724
1.21,10137
1.01,6488
0.91,4892
1.25,4331
0.6,1250
0.32,533
0.75,2850
1.15,5224
0.32,720
0.92,3332
0.6,2698
1.5,9904
0.79,1943
0.5,1153
1.52,10497
0.7,3451
1.22,5436
0.31,675
0.41,719
1.19,5822
1.23,7260
0.9,4187
0.53,1642
0.3,605
1.17,7423
0.51,2633
1.16,9901
0.85,4089
0.36,551
0.31,642
0.49,1865
1.09,11888
1.2,6129
2.01,17917
0.78,3494
0.3,863
1.15,5038
0.52,1720
0.41,906
0.35,1116
1.01,7039
1.2,6653
0.73,4372
0.21,386
2,11322
1.18,5088
2.01,14837
1,4204
1,2280
0.3,652
0.3,844
0.62,1378
1.22,6012
0.7,2240
0.32,1008
1.23,10304
1.23,5834
0.3,605
0.31,949
1.52,8299
0.52,1408
1.2,3011
0.96,4560
1.31,8392
0.55,2026
1.06,6169
0.7,2268
1.07,11475
1.5,11489
0.32,505
0.7,2401
0.72,2949
0.41,625
1.51,17689
0.62,2088
1.08,5850
0.33,610
0.91,3822
0.4,988
2.04,12799
0.62,2141
0.72,2074
0.32,523
0.37,749
0.43,1000
0.75,3011
0.93,4513
0.56,1286
0.31,982
0.34,730
0.31,507
1.5,7526
0.3,605
1.01,4989
0.44,733
0.8,3296
1.35,6396
1.01,4355
0.42,1164
1.72,12248
0.5,1675
0.3,468
1.02,3451
0.92,4406
0.31,756
1.01,6754
1.02,9550
0.23,465
0.32,645
1.21,5421
0.33,868
2.4,12468
0.79,3210
0.3,475
0.38,1096
1.23,4856
0.42,961
0.9,3841
1.27,6611
1.02,3786
1.21,4249
0.9,4914
1,3427
1.73,16960
0.32,480
1,5702
1.5,9519
0.32,589
0.31,749
1.16,5678
0.36,668
1.05,3428
0.7,2591
0.31,489
0.66,1712
1.21,7257
1.01,7665
0.61,2331
0.72,2441
0.3,873
0.31,1046
0.78,3744
1.03,7906
1.04,4630
0.23,431
0.39,1026
1.18,6191
1.07,4119
2.01,15930
0.9,4432
0.41,1076
0.52,1229
1.02,5816
0.56,1814
0.55,1172
0.38,891
0.71,2862
0.27,672
0.42,1102
0.32,876
2.01,14558
1.51,8298
0.34,686
1.58,12483
1.51,12108
1.45,9683
1.2,5699
0.53,1114
1.28,12958
0.55,2030
0.32,939
1.07,5453
1.01,5864
0.9,3808
0.31,732
0.7,2137
0.37,874
0.91,2813
0.31,698
1.17,4423
1.01,7262
1.07,3655
0.37,874
0.32,816
0.7,2575
0.5,1710
0.33,743
2,6532
0.26,468
0.74,2193
0.4,868
0.36,677
0.77,2401
0.31,652
0.31,698
1.04,4332
0.36,1013
0.93,3521
0.54,1786
0.33,403
0.76,2607
0.52,1981
0.35,1247
1.51,12319
2.11,16363
0.38,568
0.52,1815
1,2743
0.28,487
1.5,8791
1.53,7862
0.72,2706
1.05,5557
0.71,2270
2.03,13621
0.4,702
1.01,6843
0.3,675
0.81,4127
1.03,6974
1.16,5799
1.23,6206
0.41,947
1.5,8645
0.3,751
0.54,1395
0.31,982
1.23,6288
0.38,568
0.51,2111
0.38,703
0.34,702
1.2,9176
1.33,10096
1.07,9703
1.2,9139
0.5,1322
1,4174
0.36,852
0.91,4128
1.02,5497
1.01,4191
0.34,775
1.58,11491
0.6,2431
1.01,4397
0.28,375
0.5,2115
0.51,1836
0.57,1218
1.77,12378
0.33,723
1,3920
0.92,3122
0.71,2096
0.73,3900
0.32,720
1.57,12304
1,5197
1.15,7213
0.36,1013
0.7,2593
0.31,789
0.73,1824
0.37,532
0.41,1243
1.01,4118
0.76,3648
0.31,802
0.53,1857
1.04,4414
1.11,6241
0.3,540
1.01,3167
0.23,530
1.12,7812
0.91,3763
2.2,18168
0.26,362
0.41,1231
0.9,4082
1,5330
1.21,8660
0.44,1018
1.5,8827
0.41,1061
0.41,771
1.07,4491
0.28,707
0.71,4454
0.4,1580
0.72,2673
0.3,709
0.32,441
1.07,10222
0.3,421
0.31,891
0.9,3740
0.58,1089
1.01,8860
0.71,2631
0.25,548
2.2,18059
0.42,970
0.42,773
1.08,5172
0.94,3353
0.35,706
1.28,6566
0.23,414
1.5,9892
0.43,716
1.7,14860
0.4,737
1.53,17223
1.14,7042
0.62,2399
1.04,7534
0.96,4462
0.74,2555
0.39,707
0.42,1547
0.41,755
1.35,13230
1.55,8174
1.01,6371
0.45,1358
0.71,3229
0.33,925
0.62,2371
0.32,592
0.4,1229
0.79,3384
0.53,2542
0.3,710
0.32,828
1.01,6159
0.71,2308
2,14973
0.4,731
0.72,2870
1.52,13809
0.31,739
1.01,5234
0.31,959
1.09,5125
0.56,2510
0.54,1985
1.02,3141
0.5,1337
0.3,776
0.5,1654
0.46,1418
0.57,1383
1.62,12295
0.73,2644
1.3,10038
0.32,1020
1.07,4824
0.3,526
0.78,2721
1.07,4560
1.51,14294
1,4088
0.3,653
0.3,764
0.32,900
0.73,2801
0.36,945
1,4077
0.86,2706
0.56,1930
1.04,4191
0.32,612
0.7,3145
0.42,1081
0.34,540
1.21,4791
0.37,995
1.05,5057
0.76,3057
0.3,1130
1.02,7800
1.12,4719
1.51,14674
1.2,4685
0.34,1243
1.2,11913
0.5,1415
0.31,777
1.4,10790
1.22,7105
0.32,559
1.5,14199
0.87,3118
0.71,3198
1.19,7207
1,5755
1.01,4853
0.52,1605
0.59,2611
1.12,4766
1.52,4648
0.5,2168
1.41,7324
1.01,6956
0.34,863
0.38,833
0.51,1649
0.61,1704
0.41,1269
0.72,4228
1.62,13298
1.04,4980
0.7,2919
1.26,11218
1.27,5606
0.35,767
0.34,596
0.36,971
0.3,844
0.52,1280
0.57,2534
0.71,2130
0.7,2093
1.27,5923
1.01,7127
1.33,7341
1.8,14814
0.37,595
0.51,1421
0.6,2358
1.63,10680
1.55,12087
1.7,11560
0.58,1809
0.3,506
1.21,9107
0.34,974
1.31,10957
1,4997
0.36,803
0.32,561
0.3,886
1.02,5943
1,5544
0.9,4147
0.55,1270
1.6,9407
0.32,672
1.01,8529
1,7450
1.78,12981
0.54,1385
0.52,1651
0.56,2066
2.57,17924
0.59,1618
1,3906
0.31,805
0.33,475
0.71,3195
1.1,4620
0.34,507
0.41,679
0.53,2860
0.54,1736
0.4,1257
1.09,3968
1,6640
0.34,459
1.03,8169
0.41,873
0.9,4134
1.53,11229
0.51,2387
0.41,1061
1.52,12823
0.31,579
0.41,899
1.06,7934
0.9,3990
0.72,2700
0.3,608
1.01,4256
1,7134
0.35,706
0.72,2718
0.71,2685
